商品,メーカー,型番,レビュー,レビュー評価者数,保存容量,幅,高さ,奥行,重量,転送速度,エネルギー消費効率,消費電力,販売店舗,販売店舗,値段,送料,ショップポイント,QR決済/クレジットカード,支払い方法,ショップの評価,評価者数,参考文献
1,バッファロー,MiniStation HD-PCG1.0U3-BBA,4.67,21,1000,75,14,117,175,,,,1,ノジマオンライン,5435,0,0,54.35,Master Card,0.95,461,[1][2]
1,バッファロー,MiniStation HD-PCG1.0U3-BBA,4.67,21,1000,75,14,117,175,,,,2,TSUKUMO,5435,0,0,54.35,Master Card,0.9,32,[1][2]
1,バッファロー,MiniStation HD-PCG1.0U3-BBA,4.67,21,1000,75,14,117,175,,,,3,ケーズデンキWEB,5435,0,0,54.35,Master Card,0.6,5,[1][2]
1,バッファロー,MiniStation HD-PCG1.0U3-BBA,4.67,21,1000,75,14,117,175,,,,4,ヤマダウェブコム,5435,0,0,54.35,Master Card,0.27,40,[1][2]
1,バッファロー,MiniStation HD-PCG1.0U3-BBA,4.67,21,1000,75,14,117,175,,,,5,特価COM,5435,550,0,,銀行振込,1,17,[1][2]
1,バッファロー,MiniStation HD-PCG1.0U3-BBA,4.67,21,1000,75,14,117,175,,,,6,特価COM（楽天市場）,5538,550,55,55.38,Master Card,,0,[1][2]
1,バッファロー,MiniStation HD-PCG1.0U3-BBA,4.67,21,1000,75,14,117,175,,,,7,ECカレント,5841,0,0,58.41,Master Card,0.9,20,[1][2]
1,バッファロー,MiniStation HD-PCG1.0U3-BBA,4.67,21,1000,75,14,117,175,,,,8,eBEST,5877,0,0,58.77,Master Card,1,14,[1][2]
1,バッファロー,MiniStation HD-PCG1.0U3-BBA,4.67,21,1000,75,14,117,175,,,,9,ヨドバシ.com,6040,0,604,60.4,Master Card,0.78,41,[1][2]
1,バッファロー,MiniStation HD-PCG1.0U3-BBA,4.67,21,1000,75,14,117,175,,,,10,NTT-X Store,6040,0,0,60.4,Master Card,0.83,12,[1][2]
2,ADATA,AHV620S-2TU31-DBK ひかりTVショッピング限定モデル,,0,2000,78,11.5,115,152,,,,1,ひかりTVショッピング,7980,0,0,79.8,Master Card,0.92,170,[3][4]
3,WESTERN DIGITAL,WD Elements Portable WDBU6Y0040BBK-WESN,4.18,13,4000,82.4,21,111,230,5,,,1,Amazon.co.jp,11980,0,120,119.8,Master Card,0.77,58,[5][6]
4,バッファロー,MiniStation HD-PCFS2.0U3-BBA,4.45,19,2000,76,14,115,175,,,,1,Amazon.co.jp,7180,0,72,71.8,Master Card,0.77,58,[7][8]
4,バッファロー,MiniStation HD-PCFS2.0U3-BBA,4.45,19,2000,76,14,115,175,,,,2,ビックカメラ.com,9580,0,958,95.8,Master Card,0.75,20,[7][8]
4,バッファロー,MiniStation HD-PCFS2.0U3-BBA,4.45,19,2000,76,14,115,175,,,,3,楽天ビックカメラ,10538,540,105,105.38,Master Card,,0,[7][8]
5,東芝,CANVIO HD-TPA4U3-B,5,4,4000,78,19.5,109,206,,,,1,EDIONネットショップ,12582,0,0,125.82,Master Card,0.41,12,[9][10]
5,東芝,CANVIO HD-TPA4U3-B,5,4,4000,78,19.5,109,206,,,,2,ECカレント,12582,0,0,125.82,Master Card,0.9,20,[9][10]
5,東芝,CANVIO HD-TPA4U3-B,5,4,4000,78,19.5,109,206,,,,3,WiNK,12582,0,0,62.91,PayPay,1,157,[9][10]
5,東芝,CANVIO HD-TPA4U3-B,5,4,4000,78,19.5,109,206,,,,4,eBEST,12582,0,0,125.82,Master Card,1,14,[9][10]
5,東芝,CANVIO HD-TPA4U3-B,5,4,4000,78,19.5,109,206,,,,5,特価COM,12582,0,0,,銀行振込,1,17,[9][10]
5,東芝,CANVIO HD-TPA4U3-B,5,4,4000,78,19.5,109,206,,,,6,エディオン（楽天市場）,12582,600,1250,125.82,Master Card,,0,[9][10]
5,東芝,CANVIO HD-TPA4U3-B,5,4,4000,78,19.5,109,206,,,,7,ヨドバシ.com,12590,0,1259,125.9,Master Card,0.78,41,[9][10]
5,東芝,CANVIO HD-TPA4U3-B,5,4,4000,78,19.5,109,206,,,,8,ヤマダウェブコム,12590,0,1259,125.9,Master Card,0.27,40,[9][10]
5,東芝,CANVIO HD-TPA4U3-B,5,4,4000,78,19.5,109,206,,,,9,特価COM（楽天市場）,12710,550,127,127.1,Master Card,,0,[9][10]
5,東芝,CANVIO HD-TPA4U3-B,5,4,4000,78,19.5,109,206,,,,10,WiNK PREMIUM,12771,0,0,127.71,Master Card,0.99,133,[9][10]
6,ADATA,AHV300-2TU31-CWH,3.6,8,2000,80.5,10.3,125.7,133,,,,1,Amazon.co.jp,6805,0,136,68.05,Master Card,0.77,58,[11][12]
6,ADATA,AHV300-2TU31-CWH,3.6,8,2000,80.5,10.3,125.7,133,,,,2,BESTDO!,6969,770,0,69.69,Master Card,0.8,10,[11][12]
6,ADATA,AHV300-2TU31-CWH,3.6,8,2000,80.5,10.3,125.7,133,,,,3,ヨドバシ.com,7410,0,741,74.1,Master Card,0.78,41,[11][12]
6,ADATA,AHV300-2TU31-CWH,3.6,8,2000,80.5,10.3,125.7,133,,,,4,PCワンズ,7700,700,77,77,Master Card,0.87,16,[11][12]
6,ADATA,AHV300-2TU31-CWH,3.6,8,2000,80.5,10.3,125.7,133,,,,5,ECJOY!,8161,540,11,81.61,Master Card,0.86,90,[11][12]
6,ADATA,AHV300-2TU31-CWH,3.6,8,2000,80.5,10.3,125.7,133,,,,6,ゆたぷろ,8525,825,0,85.25,Master Card,1,17,[11][12]
6,ADATA,AHV300-2TU31-CWH,3.6,8,2000,80.5,10.3,125.7,133,,,,7,ひかりTVショッピング,8620,0,86,86.2,Master Card,0.92,170,[11][12]
6,ADATA,AHV300-2TU31-CWH,3.6,8,2000,80.5,10.3,125.7,133,,,,8,タンタン,8639,530,0,,銀行振込,1,34,[11][12]
6,ADATA,AHV300-2TU31-CWH,3.6,8,2000,80.5,10.3,125.7,133,,,,9,ラディカルベース,8780,0,0,,銀行振込,1,87,[11][12]
6,ADATA,AHV300-2TU31-CWH,3.6,8,2000,80.5,10.3,125.7,133,,,,10,タンタン プラス,9116,530,0,91.16,Master Card,1,11,[11][12]
7,東芝,CANVIO HD-TPA1U3-B,3.99,4,1000,78,14,109,125,,,,1,ヨドバシ.com,5430,0,543,54.3,Master Card,0.78,41,[13][14]
7,東芝,CANVIO HD-TPA1U3-B,3.99,4,1000,78,14,109,125,,,,2,ヤマダウェブコム,5430,0,543,54.3,Master Card,0.27,40,[13][14]
7,東芝,CANVIO HD-TPA1U3-B,3.99,4,1000,78,14,109,125,,,,3,EDIONネットショップ,5431,0,0,54.31,Master Card,0.41,12,[13][14]
7,東芝,CANVIO HD-TPA1U3-B,3.99,4,1000,78,14,109,125,,,,4,特価COM,5431,550,0,,銀行振込,1,17,[13][14]
7,東芝,CANVIO HD-TPA1U3-B,3.99,4,1000,78,14,109,125,,,,5,エディオン（楽天市場）,5431,600,54,54.31,Master Card,,0,[13][14]
7,東芝,CANVIO HD-TPA1U3-B,3.99,4,1000,78,14,109,125,,,,6,特価COM（楽天市場）,5486,550,54,54.86,Master Card,,0,[13][14]
7,東芝,CANVIO HD-TPA1U3-B,3.99,4,1000,78,14,109,125,,,,7,ECカレント,5693,0,0,56.93,Master Card,0.9,20,[13][14]
7,東芝,CANVIO HD-TPA1U3-B,3.99,4,1000,78,14,109,125,,,,8,eBEST,5732,0,0,57.32,Master Card,1,14,[13][14]
7,東芝,CANVIO HD-TPA1U3-B,3.99,4,1000,78,14,109,125,,,,9,ケーズデンキWEB,5763,0,0,57.63,Master Card,0.6,5,[13][14]
7,東芝,CANVIO HD-TPA1U3-B,3.99,4,1000,78,14,109,125,,,,10,ヤマダ電機（楽天市場）,5764,540,570,57.64,Master Card,0.33,3,[13][14]
8,バッファロー,HD-PGF4.0U3-GBKA,3.97,4,4000,79.5,21.5,119,250,,0.00039,,1,d&e store,12500,0,0,,銀行振込,,0,[15][16]
8,バッファロー,HD-PGF4.0U3-GBKA,3.97,4,4000,79.5,21.5,119,250,,0.00039,,2,イートレンド,12680,0,0,126.8,Master Card,0.95,444,[15][16]
8,バッファロー,HD-PGF4.0U3-GBKA,3.97,4,4000,79.5,21.5,119,250,,0.00039,,3,ひかりTVショッピング,12680,0,0,126.8,Master Card,0.92,170,[15][16]
8,バッファロー,HD-PGF4.0U3-GBKA,3.97,4,4000,79.5,21.5,119,250,,0.00039,,4,NTT-X Store,12680,0,0,126.8,Master Card,0.83,12,[15][16]
8,バッファロー,HD-PGF4.0U3-GBKA,3.97,4,4000,79.5,21.5,119,250,,0.00039,,5,アキバ倉庫,12680,0,0,126.8,Master Card,1,30,[15][16]
8,バッファロー,HD-PGF4.0U3-GBKA,3.97,4,4000,79.5,21.5,119,250,,0.00039,,6,TSUKUMO,13579,0,0,135.79,Master Card,0.9,32,[15][16]
8,バッファロー,HD-PGF4.0U3-GBKA,3.97,4,4000,79.5,21.5,119,250,,0.00039,,7,サンバイカル,14052,0,0,,銀行振込,1,102,[15][16]
8,バッファロー,HD-PGF4.0U3-GBKA,3.97,4,4000,79.5,21.5,119,250,,0.00039,,8,ECJOY!,14053,540,14,140.53,Master Card,0.86,90,[15][16]
8,バッファロー,HD-PGF4.0U3-GBKA,3.97,4,4000,79.5,21.5,119,250,,0.00039,,9,ECカレント,14163,0,0,141.63,Master Card,0.9,20,[15][16]
8,バッファロー,HD-PGF4.0U3-GBKA,3.97,4,4000,79.5,21.5,119,250,,0.00039,,10,eBEST,14163,0,0,141.63,Master Card,1,14,[15][16]
9,ADATA,AHV300-1TU31-CBK,4.31,3,1000,80.5,10.3,125.7,133,,,,1,BESTDO!,5449,770,0,54.49,Master Card,0.8,10,[12][17]
9,ADATA,AHV300-1TU31-CBK,4.31,3,1000,80.5,10.3,125.7,133,,,,2,ヨドバシ.com,5470,0,547,54.7,Master Card,0.78,41,[12][17]
9,ADATA,AHV300-1TU31-CBK,4.31,3,1000,80.5,10.3,125.7,133,,,,3,e-zoa-lite.com,5480,0,0,,銀行振込,0.66,3,[12][17]
9,ADATA,AHV300-1TU31-CBK,4.31,3,1000,80.5,10.3,125.7,133,,,,4,e-zoa.com,5480,0,0,54.8,Master Card,1,2,[12][17]
9,ADATA,AHV300-1TU31-CBK,4.31,3,1000,80.5,10.3,125.7,133,,,,5,PCワンズ,5570,700,56,55.7,Master Card,0.87,16,[12][17]
9,ADATA,AHV300-1TU31-CBK,4.31,3,1000,80.5,10.3,125.7,133,,,,6,ひかりTVショッピング,5990,0,59,59.9,Master Card,0.92,170,[12][17]
9,ADATA,AHV300-1TU31-CBK,4.31,3,1000,80.5,10.3,125.7,133,,,,7,ECJOY!,6190,540,8,61.9,Master Card,0.86,90,[12][17]
9,ADATA,AHV300-1TU31-CBK,4.31,3,1000,80.5,10.3,125.7,133,,,,8,タンタン,6220,530,0,,銀行振込,1,34,[12][17]
9,ADATA,AHV300-1TU31-CBK,4.31,3,1000,80.5,10.3,125.7,133,,,,9,ゆたぷろ,6325,825,0,63.25,Master Card,1,17,[12][17]
9,ADATA,AHV300-1TU31-CBK,4.31,3,1000,80.5,10.3,125.7,133,,,,10,タンタン プラス,6563,530,0,65.63,Master Card,1,11,[12][17]
10,バッファロー,MiniStation HD-PCFS5.0U3-GBA,5,1,5000,76,19.5,115,225,,0.00032,,1,Amazon.co.jp,15580,0,156,155.8,Master Card,0.77,58,[18][19]
10,バッファロー,MiniStation HD-PCFS5.0U3-GBA,5,1,5000,76,19.5,115,225,,0.00032,,2,コジマネット,21978,0,2198,219.78,Master Card,0.8,20,[18][19]
10,バッファロー,MiniStation HD-PCFS5.0U3-GBA,5,1,5000,76,19.5,115,225,,0.00032,,3,ビックカメラ.com,21978,0,2198,219.78,Master Card,0.75,20,[18][19]
10,バッファロー,MiniStation HD-PCFS5.0U3-GBA,5,1,5000,76,19.5,115,225,,0.00032,,4,ソフマップ.com,21978,0,2198,219.78,Master Card,0.56,16,[18][19]
10,バッファロー,MiniStation HD-PCFS5.0U3-GBA,5,1,5000,76,19.5,115,225,,0.00032,,5,楽天ビックカメラ,21978,540,219,219.78,Master Card,,0,[18][19]
10,バッファロー,MiniStation HD-PCFS5.0U3-GBA,5,1,5000,76,19.5,115,225,,0.00032,,6,コジマ（楽天市場）,21978,0,2190,219.78,Master Card,1,3,[18][19]
10,バッファロー,MiniStation HD-PCFS5.0U3-GBA,5,1,5000,76,19.5,115,225,,0.00032,,7,ソフマップ（楽天市場）,21978,0,219,219.78,Master Card,,0,[18][19]
11,ADATA,AHV620S-1TU31-CBL,3.72,11,1000,78,11.5,115,152,,,,1,NTT-X Store,4880,0,0,48.8,Master Card,0.83,12,[12][20]
12,トランセンド,StoreJet 25M3 TS2TSJ25M3S,4.77,11,2000,80.8,16.1,129.5,185,,,,1,ドスパラ,7880,0,0,78.8,Master Card,0.91,85,[21][22]
12,トランセンド,StoreJet 25M3 TS2TSJ25M3S,4.77,11,2000,80.8,16.1,129.5,185,,,,2,あきばお〜,8200,740,82,82,Master Card,,0,[21][22]
12,トランセンド,StoreJet 25M3 TS2TSJ25M3S,4.77,11,2000,80.8,16.1,129.5,185,,,,3,イーサプライ本店,8280,0,82,82.8,Master Card,1,1,[21][22]
12,トランセンド,StoreJet 25M3 TS2TSJ25M3S,4.77,11,2000,80.8,16.1,129.5,185,,,,4,イーサプライ（楽天市場）,8280,518,82,82.8,Master Card,,0,[21][22]
12,トランセンド,StoreJet 25M3 TS2TSJ25M3S,4.77,11,2000,80.8,16.1,129.5,185,,,,5,サンワダイレクト,8280,0,82,82.8,Master Card,,0,[21][22]
12,トランセンド,StoreJet 25M3 TS2TSJ25M3S,4.77,11,2000,80.8,16.1,129.5,185,,,,6,イートレンド,8580,0,0,85.8,Master Card,0.95,442,[21][22]
12,トランセンド,StoreJet 25M3 TS2TSJ25M3S,4.77,11,2000,80.8,16.1,129.5,185,,,,7,NTT-X Store,12876,0,0,128.76,Master Card,0.83,12,[21][22]
12,トランセンド,StoreJet 25M3 TS2TSJ25M3S,4.77,11,2000,80.8,16.1,129.5,185,,,,8,アウトレットプラザ,12876,600,0,,銀行振込,0.94,51,[21][22]
12,トランセンド,StoreJet 25M3 TS2TSJ25M3S,4.77,11,2000,80.8,16.1,129.5,185,,,,9,Premium Outlet Plaza,13340,600,0,133.4,Master Card,,0,[21][22]
12,トランセンド,StoreJet 25M3 TS2TSJ25M3S,4.77,11,2000,80.8,16.1,129.5,185,,,,10,ひかりTVショッピング,13680,0,136,136.8,Master Card,0.92,169,[21][22]
13,バッファロー,HD-PGF5.0U3-GBKA,3,1,5000,79.5,21.5,119,250,,0.00032,,1,Qoo10 EVENT,15800,0,0,158,Master Card,0.88,248,[23][24]
13,バッファロー,HD-PGF5.0U3-GBKA,3,1,5000,79.5,21.5,119,250,,0.00032,,2,ECカレント,16040,0,0,160.4,Master Card,0.9,20,[23][24]
13,バッファロー,HD-PGF5.0U3-GBKA,3,1,5000,79.5,21.5,119,250,,0.00032,,3,eBEST,16040,0,0,160.4,Master Card,1,14,[23][24]
13,バッファロー,HD-PGF5.0U3-GBKA,3,1,5000,79.5,21.5,119,250,,0.00032,,4,特価COM,16040,0,0,,銀行振込,1,17,[23][24]
13,バッファロー,HD-PGF5.0U3-GBKA,3,1,5000,79.5,21.5,119,250,,0.00032,,5,Amazon.co.jp,16200,0,162,162,Master Card,0.77,58,[23][24]
13,バッファロー,HD-PGF5.0U3-GBKA,3,1,5000,79.5,21.5,119,250,,0.00032,,6,特価COM（楽天市場）,16201,550,162,162.01,Master Card,,0,[23][24]
13,バッファロー,HD-PGF5.0U3-GBKA,3,1,5000,79.5,21.5,119,250,,0.00032,,7,ムラウチ,16500,0,0,165,Master Card,1,28,[23][24]
13,バッファロー,HD-PGF5.0U3-GBKA,3,1,5000,79.5,21.5,119,250,,0.00032,,8,サンバイカル,16502,0,0,,銀行振込,1,102,[23][24]
13,バッファロー,HD-PGF5.0U3-GBKA,3,1,5000,79.5,21.5,119,250,,0.00032,,9,ECJOY!,16503,540,14,165.03,Master Card,0.86,90,[23][24]
13,バッファロー,HD-PGF5.0U3-GBKA,3,1,5000,79.5,21.5,119,250,,0.00032,,10,イートレンド,16567,0,0,165.67,Master Card,0.95,444,[23][24]
14,バッファロー,MiniStation HD-PCG2.0U3-GBA,4.1,7,2000,75,19.5,117,240,,0.00084,,1,ECJOY!,8698,540,11,86.98,Master Card,0.86,90,[25][26]
14,バッファロー,MiniStation HD-PCG2.0U3-GBA,4.1,7,2000,75,19.5,117,240,,0.00084,,2,エクセラー(Kaago),8741,600,0,87.41,Master Card,0.94,37,[25][26]
14,バッファロー,MiniStation HD-PCG2.0U3-GBA,4.1,7,2000,75,19.5,117,240,,0.00084,0,3,エクセラー,8838,600,0,,銀行振込,0.93,16,[25][26]
14,バッファロー,MiniStation HD-PCG2.0U3-GBA,4.1,7,2000,75,19.5,117,240,,0.00084,,4,キムラヤ,8839,540,88,88.39,Master Card,1,1,[25][26]
